                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9046,                 2.9607,                 2.2956,                0.00333,                      1,                0.29257,                0.06893,                 1.9678,                 3.9129,                 3.2973,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.5724,                 2.7299,                 1.9543,                0.00333,                      1,                0.22652,                0.10797,                  1.314,                 3.7378,                 2.1388,             0.00021129,             0.00021129,             0.00021129
                      3,                 1.3513,                 2.4101,                 1.7358,                0.00333,                      1,                0.41224,                0.22534,                 1.2133,                  3.544,                 1.8918,             0.00031307,             0.00031307,             0.00031307
                      4,                 1.0581,                 2.1498,                 1.5098,                0.00333,                      1,                0.23586,                0.13185,                 1.0877,                 3.3135,                 1.7314,             0.00040535,             0.00040535,             0.00040535
                      5,                 1.0585,                 1.8906,                 1.4877,                0.00632,                      1,                0.65718,                0.45894,                0.88141,                 3.1061,                 1.5281,             0.00048813,             0.00048813,             0.00048813
                      6,                  1.078,                 1.7407,                 1.5389,                0.83452,                    0.5,                0.81406,                0.47083,                 1.1293,                 2.9517,                 1.8735,              0.0005614,              0.0005614,              0.0005614
                      7,                 1.0828,                 1.7167,                 1.4669,                      1,                0.50056,                0.83083,                0.53779,                0.84111,                 2.9653,                 1.5861,             0.00062517,             0.00062517,             0.00062517
                      8,                 1.1865,                 1.7033,                 1.6386,                      1,                0.71699,                0.82222,                0.53013,                0.97533,                 2.6073,                 1.7499,             0.00067943,             0.00067943,             0.00067943
                      9,                 1.0869,                  1.595,                 1.5131,                0.97175,                   0.75,                0.91468,                0.57763,                 1.1247,                 2.8207,                 2.1902,             0.00072419,             0.00072419,             0.00072419
                     10,                0.97046,                 1.4791,                 1.4119,                      1,                0.85155,                  0.971,                0.57349,                 0.9592,                 2.4035,                 1.7527,             0.00075945,             0.00075945,             0.00075945
                     11,                0.99495,                 1.3992,                  1.373,                0.88798,                      1,                0.96722,                  0.741,                0.85386,                 1.8743,                 1.6582,              0.0007852,              0.0007852,              0.0007852
                     12,                0.97569,                 1.4053,                 1.3828,                0.88234,                0.94102,                0.98167,                0.67959,                 1.1381,                 1.9289,                 1.9213,             0.00080145,             0.00080145,             0.00080145
                     13,                0.97667,                 1.2946,                 1.3377,                      1,                0.69602,                0.81847,                0.59744,                 1.0757,                 2.7062,                 1.6244,             0.00080819,             0.00080819,             0.00080819
                     14,                0.86611,                 1.2434,                  1.308,                 0.9976,                    0.5,                0.71756,                0.43049,                 1.3684,                 3.0766,                 1.8051,             0.00080543,             0.00080543,             0.00080543
                     15,                0.88904,                 1.1792,                 1.2988,                 0.6464,                  0.462,                0.68776,                0.35084,                  1.657,                 2.9111,                 2.1905,             0.00079317,             0.00079317,             0.00079317
                     16,                0.94497,                 1.7917,                 1.5141,                 0.8383,                0.65105,                0.87396,                0.63473,                 1.4494,                  2.923,                 2.2498,              0.0007714,              0.0007714,              0.0007714
                     17,                0.83242,                 1.5743,                 1.3818,                0.85412,                      1,                0.96722,                0.77647,                0.90712,                  2.068,                 1.7929,              0.0007328,              0.0007328,              0.0007328
                     18,                0.82675,                 1.5703,                 1.4126,                0.98296,                      1,                  0.995,                0.78333,                0.82231,                 1.7255,                 1.5955,              0.0007328,              0.0007328,              0.0007328
                     19,                0.84689,                 1.4807,                 1.4355,                 0.9868,                      1,                  0.995,                 0.7512,                0.85475,                 1.5952,                 1.6514,              0.0006536,              0.0006536,              0.0006536
                     20,                0.76158,                  1.386,                  1.402,                0.99068,                      1,                  0.995,                0.75214,                0.89677,                 1.6387,                 1.6583,              0.0005744,              0.0005744,              0.0005744
                     21,                0.76281,                 1.2936,                 1.3949,                0.98927,                      1,                  0.995,                0.75448,                0.84628,                 1.5107,                 1.6434,              0.0004952,              0.0004952,              0.0004952
                     22,                0.72622,                 1.2881,                 1.2865,                0.99289,                      1,                  0.995,                 0.8475,                0.75133,                 1.2814,                 1.3571,               0.000416,               0.000416,               0.000416
                     23,                0.64743,                 1.2014,                 1.2083,                0.99348,                      1,                  0.995,                 0.8496,                0.79599,                 1.3361,                 1.3924,              0.0003368,              0.0003368,              0.0003368
                     24,                 0.6213,                  1.171,                 1.1627,                 0.9931,                      1,                  0.995,                0.80107,                0.83311,                 1.3192,                 1.4591,              0.0002576,              0.0002576,              0.0002576
                     25,                0.62789,                 1.1259,                 1.1967,                0.99348,                      1,                  0.995,                0.81982,                0.79075,                 1.2945,                 1.4119,              0.0001784,              0.0001784,              0.0001784
